CÓDIGO,DESCRIPCIÓN,NOMBRE,LÍNEA,BENEFICIARIO,REGIÓN,IMPACTO,SECTOR,DURACIÓN,APORTE-CORFO,TOTAL,RES,FECHA,TOMA-RAZÓN
17PAEI-73133,No contiene descripción ...,"“Concepción Global y creativo: Como la creatividad, sostenibilidad e innovación local transforman el futuro económico de la Región del Bio Bio, en el contexto de los cambios tecnológicos y la nueva globalización""",Concurso  Regional PAEI (Programa de Apoyo Entorno) - Bío-Bío,INSTITUTO REGIONAL DE ADMINISTRACION DE EMPRESAS,VIII BIOBIO,,(NO APLICA),0,"$30,290,000","$45,190,000",180,16-06-2017,
11PAEI-9514,No contiene descripción ...,APRENDER A EMPRENDER EDUCACIÓN EN EMPRENDIMIENTO,APOYO AL ENTORNO DE EMPRENDIMIENTO,FUNDACIÓN CHILE,X LOS LAGOS,X LOS LAGOS,EDUCACION,0,"$93,000,000","$134,660,000",526,22-06-2011,
07CMEPBM-09,No contiene descripción ...,"IDENTIFICACIÓN DE OPORTUNIDADES PARA EL DESARROLLO DE LA BIOPROSPECCIÓN EN EL MERCADO INTERNACIONAL FARMACÉUTICO, COSMETOLÓGICO Y DE ALIMENTOS.",PROGRAMA DE PROSPECCIÓN E INVESTIGACIÓN DE MERCADO,NEOS SERVICIOS Y GESTION TECNOLÓGICA LIMITADA,REGION METROPOLITANA,,ALIMENTOS,0,$0,$0,1409,14-12-2007,
19REDEXP-115734,No contiene descripción ...,Destino para los 500 años del Estrecho Magallanes,NODOS PARA LA COMPETITIVIDAD,GDC,XII MAGALLANES,,TURISMO,0,"$5,000,000","$5,000,000",76,30-08-2019,
07PLE1-5493,No contiene descripción ...,DESARROLLO DE DISPOSITIVOS DE DETECCIÓN RÁPIDA DE ANTIBIÓTICOS PARA LA INDUSTRIA SALMONERA,CONSORCIOS TECNOLÓGICOS ESTUDIOS DE PREINVERSIÓN,AUSTRAL BIOTECH S.A.,REGION METROPOLITANA,,PESCA Y ACUICULTURA,0,$0,$0,386,16-03-2007,
20PARCO-149200,No contiene descripción ...,EVICE UP,PROGRAMA DE APOYO A LA REACTIVACIÓN,SOCIEDAD COMERCIALIZADORA EVICE LIMITADA,V VALPARAISO,,COMERCIO,0,"$4,000,000","$4,000,000",195,07-12-2020,
19REDPRO-121001,No contiene descripción ...,Frutillas Valle Central Pelluhue Chanco.,RED PROVEEDORES,Agrícola y Comercial Valle Central Ltda.,VII  MAULE,,OTROS,0,"$4,000,000","$7,000,000",157,05-12-2019,
20DEIN-129756,No contiene descripción ...,- Fungi Ñuble - Planta de producción de Champiñones,DESARROLLA INVERSION,Cultivo y comercialización de hongos Leopoldo Andrés Maximiliano Cornejo Soto EIRL,XVI ÑUBLE,,ALIMENTOS,0,"$18,788,616","$30,175,656",49,10-06-2020,
19EXP-109167,No contiene descripción ...,Gestión eficiente del uso del agua potable,SEMILLA EXPANDE,M2M TECHNOLOGIES SPA,REGION METROPOLITANA,,(NO APLICA),0,"$27,000,000","$35,333,334",574,26-09-2019,
20REDGTT-154255-2,No contiene descripción ...,GTT Espárragos Maule Sur,RED TECNOLOGICA GTT,GDC,VII  MAULE,,OTROS,12,"$24,000,000","$29,000,000",149,12-11-2021,
08CTI01-26,No contiene descripción ...,DIGITALIZACIÓN DE PYMES A TRAVÉS DE LA IMPLEMENTACIÓN DE UN SISTEMA INFORMÁTICO Y REMOTO DE PRODUCCIÓN,INNOVACIÓN PRECOMPETITIVA,MIPLANTA LIMITADA,REGION METROPOLITANA,,TECNOLOGIAS DE INFORMACION,0,$0,$0,316,28-11-2008,28-11-2008
18FOAVI-102709,No contiene descripción ...,Implementación y Certificación ISO 14001-2015 FAIQ CHILE,PROGRAMA DE FOMENTO A LA CALIDAD,FAIQ LTDA.,IX LA ARAUCANIA,IX LA ARAUCANIA,MULTISECTORIAL,0,"$3,200,000","$4,400,000",138,30-10-2018,
14CS-31816,No contiene descripción ...,MEDICALDESK,CAPITAL SEMILLA (E),Cecilia Carolina Calderón Moreno,REGION METROPOLITANA,REGION METROPOLITANA,SALUD,10,"$25,000,000","$34,300,000",2044,22-12-2014,
20PARCO-152786,No contiene descripción ...,"mejorando la comunicacion radial ,Radio Naranja Villa Alegre",PROGRAMA DE APOYO A LA REACTIVACIÓN,publicidad y radio,VII  MAULE,,OTROS,0,"$4,000,000","$4,000,000",168,11-12-2020,
